seatId,screenId,row,seatNumber,type,price,status
H1,SCREEN1,H,1,Regular,10.00,Available
H2,SCREEN1,H,2,Regular,10.00,Available
H3,SCREEN1,H,3,Regular,10.00,Available
H4,SCREEN1,H,4,Regular,10.00,Available
H5,SCREEN1,H,5,Regular,10.00,Available
H6,SCREEN1,H,6,Regular,10.00,Available
H7,SCREEN1,H,7,Regular,10.00,Available
H8,SCREEN1,H,8,Regular,10.00,Available
H9,SCREEN1,H,9,Regular,10.00,Available
H10,SCREEN1,H,10,Regular,10.00,Available
H11,SCREEN1,H,11,Regular,10.00,Available
H12,SCREEN1,H,12,Regular,10.00,Available
I1,SCREEN1,I,1,Regular,10.00,Available
I2,SCREEN1,I,2,Regular,10.00,Available
I3,SCREEN1,I,3,Regular,10.00,Available
I4,SCREEN1,I,4,Regular,10.00,Available
I5,SCREEN1,I,5,Regular,10.00,Available
I6,SCREEN1,I,6,Regular,10.00,Available
I7,SCREEN1,I,7,Regular,10.00,Available
I8,SCREEN1,I,8,Regular,10.00,Available
I9,SCREEN1,I,9,Regular,10.00,Available
I10,SCREEN1,I,10,Regular,10.00,Available
I11,SCREEN1,I,11,Regular,10.00,Available
I12,SCREEN1,I,12,Regular,10.00,Available
J1,SCREEN1,J,1,Regular,10.00,Available
J2,SCREEN1,J,2,Regular,10.00,Available
J3,SCREEN1,J,3,Regular,10.00,Available
J4,SCREEN1,J,4,Regular,10.00,Available
J5,SCREEN1,J,5,Regular,10.00,Available
J6,SCREEN1,J,6,Regular,10.00,Available
J7,SCREEN1,J,7,Regular,10.00,Available
J8,SCREEN1,J,8,Regular,10.00,Available
J9,SCREEN1,J,9,Regular,10.00,Available
J10,SCREEN1,J,10,Regular,10.00,Available
J11,SCREEN1,J,11,Regular,10.00,Available
J12,SCREEN1,J,12,Regular,10.00,Available
